"","Titulo","entradas_mes","entradas_ult_semana","entradas_semama_anterio","entradas_first_semana","semanas_total","pantallas_max","pantallas_mes","pantallas_ult_semana","pantallas_semana_anterior","pantallas_first_semana","semanas_mes","pais","region","tipo","cantidad","mes","Rank","rank_mes","rank_anterior","direccion","director","rank_total"
"84","FRAGMENTO",162,162,NA,162,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",43,43,NA,"mujer","NO GUIONISTA",84
"85","LA CHANCHA",159,159,NA,159,6,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",39,39,NA,"hombre","GUIONISTA",85
"86","EL HOMBRE QUE VENDIÓ SU PIEL",150,129,14,7,6,2,4,2,1,1,3,"TUNEZ","AFRICA","pelicula",1,"ABRIL",42,72,71,"mujer","GUIONISTA",86
"87","ESTRENO PELICULA VACIO",146,146,NA,146,1,1,1,1,NA,1,1,"ECUADOR","LATAM","pelicula",1,"ABRIL",45,45,NA,"hombre","CO-GUIONISTA",87
"88","LA FORMA DEL BOSQUE",137,46,91,91,6,3,6,3,3,3,2,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",47,50,50,"hombre","GUIONISTA",88
"89","SECTOR VIP",134,36,98,98,3,7,12,5,7,7,2,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",51,47,47,"hombre","NO GUIONISTA",89
"90","2 DE ABRIL - 40 AÑOS",132,132,NA,132,1,1,1,1,NA,1,1,"","","festival",1,"ABRIL",44,44,NA,"",NA,90
"91","EL CASO COLLINI",131,131,NA,131,4,1,1,1,NA,1,1,"ALEMANIA","EUROPA","pelicula",1,"ABRIL",45,45,NA,"hombre","NO GUIONISTA",91
"92","LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS",127,127,NA,127,9,1,1,1,NA,1,1,"FRANCIA","EUROPA","pelicula",1,"ABRIL",46,46,NA,"hombre","GUIONISTA",92
"93","EL CALLEJON DE LAS ALMAS PERDIDAS",118,53,65,65,11,1,2,1,1,1,2,"EE.UU","EE.UU","pelicula",1,"ABRIL",59,54,54,"hombre","CO-GUIONISTA",93
"94","LA LUNA REPRESENTA MI CORAZÓN",109,109,NA,109,4,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",50,50,NA,"hombre","GUIONISTA",94
"95","CRÓNICA DE UN AVISO RADIAL",97,97,NA,97,9,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",49,49,NA,"hombre","GUIONISTA",95
"96","CLIFFORD EL GRAN PERRO ROJO",91,91,NA,91,19,1,1,1,NA,1,1,"EE.UU","EE.UU","pelicula",1,"ABRIL",52,52,NA,"hombre","NO GUIONISTA",96
"97","EL MUNDO QUE QUISIERA",82,82,NA,82,3,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",54,54,NA,"hombre","GUIONISTA",97
"98","EL EMPLEADO Y EL PATRON",79,79,NA,79,11,1,1,1,NA,1,1,"URUGUAY","LATAM","pelicula",1,"ABRIL",52,52,NA,"hombre","GUIONISTA",98
"99","FALKLINAS",78,2,76,76,4,8,9,1,8,8,2,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",79,53,53,"hombre","GUIONISTA",99
"100","ABUELAS",77,18,22,37,3,1,3,1,1,1,3,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",59,63,58,"hombre","GUIONISTA",100
"101","PIEDRA NOCHE",75,36,39,39,7,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",52,62,62,"hombre","NO GUIONISTA",101
"102","DOWNTON ABBEY: UNA NUEVA ERA",64,64,NA,64,1,1,1,1,NA,1,1,"UK","EUROPA","pelicula",1,"ABRIL",41,41,NA,"hombre","NO GUIONISTA",102
"103","BUENAS NOCHES MALVINAS",63,22,41,41,5,4,5,1,4,4,2,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",57,59,59,"mixto","GUIONISTA",103
"104","EXHIBICIÓN ANDREY ZVYAGINTSEV",62,16,28,18,3,1,3,1,1,1,3,"","","festival",1,"ABRIL",60,69,56,"",NA,104
"105","EL SEÑOR DE LOS ARBOLES",60,60,NA,60,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",42,42,NA,"mixto","NO GUIONISTA",105
"106","LA TEORIA DE LOS VIDRIOS ROTOS",57,45,12,12,13,1,2,1,1,1,2,"URUGUAY","LATAM","pelicula",1,"ABRIL",48,73,73,"hombre","CO-GUIONISTA",106
"107","KING",56,56,NA,56,5,1,1,1,NA,1,1,"FRANCIA","EUROPA","pelicula",1,"ABRIL",57,57,NA,"hombre","CO-GUIONISTA",107
"108","MUESTRA ENTERRIANA ENERO-ABRIL",46,19,27,27,6,1,2,1,1,1,2,"","","festival",1,"ABRIL",58,65,65,"",NA,108
"109","ILSE FUSKOVA",41,41,NA,41,11,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",60,60,NA,"mixto","CO-GUIONISTA",109
"110","EL CURANDERO",38,38,NA,38,3,1,1,1,NA,1,1,"","","",1,"ABRIL",61,61,NA,"",NA,110
"111","SEXO DESAFORTUNADO O PORNO LOCO",37,37,NA,37,12,1,1,1,NA,1,1,"BELGICA","EUROPA","pelicula",1,"ABRIL",50,50,NA,"hombre","GUIONISTA",111
"112","CICLO DE CINE DE ANIMÉ",36,26,10,10,2,1,2,1,1,1,2,"","","festival",1,"ABRIL",66,70,70,"",NA,112
"113","SOÑANDO MARTIN",35,35,NA,35,6,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",63,63,NA,"hombre","GUIONISTA",113
"114","EL PERFECTO DAVID",34,34,NA,34,9,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",64,64,NA,"hombre","CO-GUIONISTA",114
"115","PUNTO ROJO",34,11,23,23,6,3,4,1,3,3,2,"SUECIA ","EUROPA","pelicula",1,"ABRIL",64,67,67,"hombre","CO-GUIONISTA",115
"116","CAPERUCITA ROJA",26,7,19,19,8,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",75,65,65,"mujer","GUIONISTA",116
"117","R J W",26,24,2,2,5,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",56,80,80,"hombre","GUIONISTA",117
"118","TARARA",26,11,15,15,4,2,3,1,2,2,2,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",65,61,61,"hombre","GUIONISTA",118
"119","NI HEROE NI TRAIDOR",25,25,NA,25,4,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",55,55,NA,"hombre","CO-GUIONISTA",119
