"","Titulo","entradas_mes","entradas_ult_semana","entradas_semama_anterio","entradas_first_semana","semanas_total","pantallas_max","pantallas_mes","pantallas_ult_semana","pantallas_semana_anterior","pantallas_first_semana","semanas_mes","pais","region","tipo","cantidad","mes","�..Rank","rank_mes","rank_anterior","direccion","eyd","rank_total"
"1","BATMAN",1070186,137157,184242,439417,5,556,1845,347,419,556,4,"EE.UU","EE.UU","pelicula",1,"MARZO",1,1,1,"hombre",0.5,1
"2","LOS TIPOS MALOS",174545,87265,87080,200,3,320,624,303,320,1,3,"EE.UU","EE.UU","pelicula",1,"MARZO",2,34,2,"hombre",0,2
"3","UNCHARTED: FUERA DEL MAPA",153641,20844,24543,65540,7,174,511,77,95,174,4,"EE.UU","EE.UU","pelicula",1,"MARZO",5,2,4,"hombre",0,3
"4","JUJUTSU KAISEN 0",72405,72405,NA,72405,1,103,103,103,NA,103,1,"JAPON","ASIA","pelicula",1,"MARZO",3,3,NA,"hombre",0,4
"5","SING 2, VEN Y CANTA DE NUEVO",62110,6934,7790,26074,14,136,366,42,57,136,4,"EE.UU","EE.UU","pelicula",1,"MARZO",10,4,8,"hombre",1,5
"6","SPIDER MAN SIN CAMINO A CASA",60272,4854,7415,28778,17,114,276,28,37,114,4,"EE.UU","EE.UU","pelicula",1,"MARZO",12,3,9,"hombre",0,6
"7","COMPETENCIA OFICIAL",60257,28216,31645,396,3,126,227,126,99,2,3,"ESPAÑA","EUROPA","pelicula",1,"MARZO",4,25,3,"hombre",0.5,7
"8","EL EXORCISMO DE DIOS",49547,9515,11831,13147,7,55,200,38,53,55,4,"EE.UU","EE.UU","pelicula",1,"MARZO",8,5,6,"hombre",0.5,8
"9","AMBULANCIA",35677,13107,22570,22570,2,163,312,163,149,149,2,"EE.UU","EE.UU","pelicula",1,"MARZO",6,5,5,"hombre",0,9
"10","""BTS PERMISSION TO DANCE ON STAGE - SEOUL: LIVE""",21097,21097,NA,21097,1,49,49,49,NA,49,1,"EE.UU","EE.UU","pelicula",1,"MARZO",4,4,NA,"hombre",0,10
"11","ENCANTO",17293,2876,2413,5867,20,60,156,24,20,52,4,"EE.UU","EE.UU","pelicula",1,"MARZO",13,8,11,"mixto",0.5,11
"12","KING",16252,1123,2250,99,4,115,159,10,33,1,4,"FRANCIA","EUROPA","pelicula",1,"MARZO",20,40,12,"hombre",0.5,12
"13","MUERTE EN EL NILO",13302,686,1395,7370,7,29,65,5,10,29,4,"EE.UU","EE.UU","pelicula",1,"MARZO",26,6,14,"hombre",0,13
"14","EL PADRINO 50 AÑOS",10878,1339,1301,4786,17,20,45,7,5,13,4,"EE.UU","EE.UU","pelicula",1,"MARZO",16,9,15,"hombre",0.5,14
"15","A CIEGAS",10687,2704,7881,102,3,63,89,25,63,1,3,"CANADA","NORTE AMERICA","pelicula",1,"MARZO",14,39,7,"hombre",0,15
"16","TIEMPOS VIOLENTOS",10472,10472,NA,10472,1,47,47,47,NA,47,1,"EE.UU","EE.UU","pelicula",1,"MARZO",7,7,NA,"hombre",1,16
"17","LA LLAMADA FINAL",9969,553,1038,6305,5,42,73,5,9,42,4,"EE.UU","EE.UU","pelicula",1,"MARZO",29,7,17,"hombre",0,17
"18","BELFAST",9256,1216,1489,4107,5,30,87,17,19,30,4,"UK","EUROPA","pelicula",1,"MARZO",17,10,13,"hombre",1,18
"19","HASTA LA MUERTE",7663,7663,NA,7663,1,45,45,45,NA,45,1,"EE.UU","EE.UU","pelicula",1,"MARZO",9,9,NA,"hombre",0,19
"20","CORAZON DE FUEGO",7442,461,395,3636,8,26,55,4,5,20,4,"FRANCIA","EUROPA","pelicula",1,"MARZO",30,11,27,"hombre",0.5,20
"21","SWORD ART ONLINE PROGRESSIVE: ARIA DE UNA NOCHE SIN ESTR..",7276,79,7197,7197,2,61,64,3,61,61,2,"JAPON","ASIA","pelicula",1,"MARZO",47,8,8,"mujer",0,21
"22","EXODO",6355,6355,NA,6355,1,80,80,80,NA,80,1,"ALEMANIA","EUROPA","pelicula",1,"MARZO",11,11,NA,"hombre",0.5,22
"23","SPENCER",5885,834,631,3095,6,19,44,11,4,19,4,"UK","EUROPA","pelicula",1,"MARZO",24,12,22,"hombre",0,23
"24","LICORICE PIZZA",5845,1149,750,2518,10,13,42,13,6,12,4,"EE.UU","EE.UU","pelicula",1,"MARZO",19,13,19,"hombre",1,24
"25","MILAGRO EN LA CUEVA",4434,26,4408,4408,2,72,74,2,72,72,2,"TAILANDIA","ASIA","pelicula",1,"MARZO",61,10,10,"hombre",1,25
"26","ECOS DE UN CRIMEN",3712,560,470,1448,10,7,19,2,5,5,4,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",28,14,23,"hombre",0,26
"27","AXIOMAS",3010,294,295,297,4,14,22,2,5,1,4,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",36,26,29,"mujer",0.5,27
"28","TERROR EN EL ESTUDIO 666",2505,17,2488,2488,2,26,27,1,26,26,2,"EE.UU","EE.UU","pelicula",1,"MARZO",62,10,10,"hombre",0,28
"29","EL CALLEJON DE LAS ALMAS PERDIDAS",2447,1183,40,808,9,9,19,9,2,5,4,"EE.UU","EE.UU","pelicula",1,"MARZO",18,18,55,"hombre",0.5,29
"30","AZOR",2337,2067,270,270,2,19,20,19,1,1,2,"SUIZA","EUROPA","pelicula",1,"MARZO",15,32,32,"hombre",0.5,30
"31","BAJO LA CORTEZA",1744,133,743,776,4,8,23,3,8,8,4,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",42,19,20,"hombre",0.5,31
"32","""CICLO CULTURAL SAN MARTIN MARZO 2022""",1431,334,289,398,5,1,4,1,1,1,4,"","","festival",1,"MARZO",34,23,30,"",NA,32
"33","EX CASADOS",1388,19,414,955,15,4,9,1,4,4,3,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",60,20,25,"mujer",0.5,33
"34","CLIFFORD EL GRAN PERRO ROJO",1380,102,87,820,18,5,12,1,2,5,4,"EE.UU","EE.UU","pelicula",1,"MARZO",49,17,45,"hombre",0,34
"35","""EL CAIRO MARZO- ABRIL 2022""",1220,381,274,284,4,1,4,1,1,1,4,"","","festival",1,"MARZO",32,29,31,"",NA,35
"36","HOY SE ARREGLA EL MUNDO",1214,60,702,252,12,4,11,1,4,3,4,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",53,32,21,"hombre",0,36
"37","BREVE ENCUENTRO CON FRANCOIS TRUFFAUT",1174,1174,NA,1174,1,1,1,1,NA,1,1,"","","festival",1,"MARZO",16,16,NA,"",NA,37
"38","LA CASA DE LOS CONEJOS",1143,1046,97,97,13,10,13,10,3,3,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",22,44,44,"mujer",1,38
"39","R J W",1103,1103,NA,1103,1,5,5,5,NA,5,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",21,21,NA,"hombre",1,39
"40","REDESCUBRIR A ROBERT BRESSON",1031,1031,NA,1031,2,1,1,1,NA,1,1,"","","festival",1,"MARZO",15,15,NA,"",NA,40
